player_name,ast,gp,pts,ts_pct,ast_pct,usg_pct,net_rating,reb,height,weight,position_ratings
Doug Christie,3.9,81,14.5,0.5429999999999999,0.165,0.184,-2.6,5.3,198.12,92.98636,"{'point guard': 19.32, 'shooting guard': 11.7086, 'small forward': 0.17830000000000001, 'forward': 0.56, 'center': 145.55318}"
Michael Jordan,4.3,82,29.6,0.5670000000000001,0.208,0.331,13.4,5.9,198.12,97.975872,"{'point guard': 19.840000000000003, 'shooting guard': 23.793400000000002, 'small forward': 0.2941, 'forward': 10.399999999999999, 'center': 148.047936}"
Mookie Blaylock,5.9,78,17.4,0.5479999999999999,0.272,0.221,10.5,5.3,185.42,83.91452,"{'point guard': 20.32, 'shooting guard': 14.0296, 'small forward': 0.2363, 'forward': 8.42, 'center': 134.66726}"
Scott Williams,0.7,62,5.8,0.529,0.049,0.127,-4.6,6.4,208.28,104.32616,"{'point guard': 12.96, 'shooting guard': 4.7458, 'small forward': 0.1036, 'forward': -0.1999999999999993, 'center': 156.30308}"
Todd Fuller,0.3,75,4.0,0.48,0.04,0.166,-8.6,3.3,210.82,115.66596,"{'point guard': 15.24, 'shooting guard': 3.2960000000000003, 'small forward': 0.1282, 'forward': -3.839999999999999, 'center': 163.24298}"
David Robinson,1.3,6,17.7,0.5589999999999999,0.111,0.3339999999999999,9.6,8.5,215.9,106.59412,"{'point guard': 2.24, 'shooting guard': 14.2718, 'small forward': 0.2670999999999999, 'forward': 9.16, 'center': 161.24706}"
Fred Roberts,0.0,12,1.8,0.52,0.0,0.265,-13.1,0.8,208.28,98.883056,"{'point guard': 2.4000000000000004, 'shooting guard': 1.5440000000000003, 'small forward': 0.1855, 'forward': -7.539999999999999, 'center': 153.581528}"
David Wingate,1.2,65,3.6,0.509,0.1369999999999999,0.134,2.8,1.1,195.58,83.91452,"{'point guard': 13.96, 'shooting guard': 2.9818000000000002, 'small forward': 0.13489999999999996, 'forward': 2.12, 'center': 139.74726}"
Danny Manning,2.2,77,13.5,0.574,0.136,0.2269999999999999,3.1,6.1,208.28,106.140528,"{'point guard': 17.16, 'shooting guard': 10.914800000000001, 'small forward': 0.19969999999999993, 'forward': 4.3, 'center': 157.210264}"
Grant Hill,7.3,80,21.4,0.556,0.356,0.283,6.9,9.0,203.2,102.0582,"{'point guard': 21.84, 'shooting guard': 17.2312, 'small forward': 0.30489999999999995, 'forward': 7.74, 'center': 152.6291}"
Kurt Thomas,0.5,18,6.3,0.451,0.042,0.183,-0.8,5.9,205.74,106.59412,"{'point guard': 4.0, 'shooting guard': 5.1302, 'small forward': 0.1407, 'forward': 1.8800000000000003, 'center': 156.16706}"
Antonio McDyess,1.4,74,18.3,0.509,0.079,0.267,-7.5,7.3,205.74,99.79024,"{'point guard': 15.92, 'shooting guard': 14.741800000000001, 'small forward': 0.2106, 'forward': -1.58, 'center': 152.76512}"
