Unnamed: 0,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,playerRating
51,Doug Christie,TOR,27.0,198.12,92.98636,Pepperdine,USA,1996,1,17,81,14.5,5.3,3.9,-2.6,0.031,0.135,0.184,0.5429999999999999,0.165,1996-97,78.17639999999997
392,Michael Jordan,CHI,34.0,198.12,97.975872,North Carolina,USA,1996,1,3,82,29.6,5.9,4.3,13.4,0.042,0.132,0.331,0.5670000000000001,0.208,1996-97,101.2747
399,Mookie Blaylock,ATL,30.0,185.42,83.91452,Oklahoma,USA,1996,1,12,78,17.4,5.3,5.9,10.5,0.046,0.114,0.221,0.5479999999999999,0.272,1996-97,86.0377
232,Scott Williams,PHI,29.0,208.28,104.32616,North Carolina,USA,1996,Undrafted,Undrafted,62,5.8,6.4,0.7,-4.6,0.126,0.205,0.127,0.529,0.049,1996-97,53.4369
325,Todd Fuller,GSW,22.0,210.82,115.66596,North Carolina State,USA,1996,1,11,75,4.0,3.3,0.3,-8.6,0.127,0.171,0.166,0.48,0.04,1996-97,56.2815
186,David Robinson,SAS,31.0,215.9,106.59412,Navy,USA,1996,1,1,6,17.7,8.5,1.3,9.6,0.161,0.237,0.3339999999999999,0.5589999999999999,0.111,1996-97,34.1482
83,Fred Roberts,DAL,36.0,208.28,98.883056,Brigham Young,USA,1996,2,27,12,1.8,0.8,0.0,-13.1,0.053,0.178,0.265,0.52,0.0,1996-97,5.9043
189,David Wingate,SEA,33.0,195.58,83.91452,Georgetown,USA,1996,2,44,65,3.6,1.1,1.2,2.8,0.031,0.069,0.134,0.509,0.1369999999999999,1996-97,52.388799999999996
181,Danny Manning,PHX,31.0,208.28,106.140528,Kansas,USA,1996,1,1,77,13.5,6.1,2.2,3.1,0.079,0.184,0.2269999999999999,0.574,0.136,1996-97,75.8359
107,Grant Hill,DET,24.0,203.2,102.0582,Duke,USA,1996,1,3,80,21.4,9.0,7.3,6.9,0.049,0.2319999999999999,0.283,0.556,0.356,1996-97,94.30710000000002
343,Kurt Thomas,MIA,24.0,205.74,106.59412,Texas Christian,USA,1996,1,10,18,6.3,5.9,0.5,-0.8,0.094,0.239,0.183,0.451,0.042,1996-97,24.075199999999995
136,Antonio McDyess,DEN,22.0,205.74,99.79024,Alabama,USA,1996,1,2,74,18.3,7.3,1.4,-7.5,0.07,0.163,0.267,0.509,0.079,1996-97,74.51330000000002
349,Larry Stewart,SEA,28.0,203.2,104.32616,Coppin State,USA,1996,Undrafted,Undrafted,70,4.3,2.4,0.7,5.8,0.089,0.115,0.161,0.512,0.079,1996-97,58.4395
331,Priest Lauderdale,ATL,23.0,223.52,155.582056,Central State (OH),USA,1996,1,28,35,3.2,1.2,0.3,-4.0,0.093,0.1639999999999999,0.284,0.56,0.107,1996-97,27.6757
36,Detlef Schrempf,SEA,34.0,208.28,106.59412,Washington,USA,1996,1,8,61,16.8,6.5,4.4,12.2,0.049,0.166,0.211,0.5920000000000001,0.2,1996-97,73.85409999999997
311,Steve Scheffler,SEA,29.0,205.74,113.398,Purdue,USA,1996,2,39,7,1.6,0.4,0.0,-19.9,0.043,0.077,0.186,0.799,0.0,1996-97,-0.8600999999999995
372,Loren Meyer,PHX,24.0,208.28,117.93392,Iowa State,USA,1996,1,24,54,4.9,2.7,0.4,-6.7,0.085,0.14,0.215,0.489,0.046,1996-97,42.82790000000001
87,Gaylon Nickerson,WAS,28.0,190.5,86.18248,Northwestern Oklahoma,USA,1996,2,34,4,3.8,1.3,0.3,8.9,0.03,0.111,0.174,0.497,0.043,1996-97,11.6994
273,Rodney Rogers,LAC,26.0,200.66,115.66596,Wake Forest,USA,1996,1,9,81,13.2,5.1,2.7,-3.5,0.063,0.132,0.223,0.53,0.152,1996-97,75.30189999999999
435,Martin Lewis,TOR,22.0,198.12,102.0582,Seward County Community College,USA,1996,2,50,9,1.6,0.7,0.4,-3.5,0.087,0.045,0.135,0.47,0.125,1996-97,7.6417
358,Kenny Smith,DEN,32.0,190.5,77.11064,North Carolina,USA,1996,1,6,48,6.3,0.9,2.4,-14.2,0.006,0.0579999999999999,0.1939999999999999,0.58,0.262,1996-97,37.33299999999999
236,Sedale Threatt,HOU,35.0,187.96,83.91452,West Virginia Tech,USA,1996,6,139,21,3.3,1.1,1.9,-3.5,0.017,0.063,0.122,0.451,0.185,1996-97,19.377000000000002
363,Jimmy Carruth,MIL,27.0,208.28,120.20188,Virginia Tech,USA,1996,Undrafted,Undrafted,4,1.3,1.0,0.0,-17.7,0.0,0.211,0.103,0.727,0.0,1996-97,-1.8982000000000006
138,A.C. Green,DAL,33.0,205.74,102.0582,Oregon State,USA,1996,1,23,83,7.2,7.9,0.8,-8.0,0.1,0.207,0.119,0.523,0.045,1996-97,69.4483
